102	4237	23
104	6400	7
102	4456	11
201	8876	7
5579	936	35
214	2131	33
2048	6816	9
872	6352	36
742	7111	7
107	8713	25
45668	3443	73
140	1718	2
416	162	18
103	5251	25
17134	3592	49
608	3339	57
124	6617	25
1586	8752	30
184	750	16
565	6785	28
6585	6032	10
227	2366	14
58	8777	77
1388	8170	71
101	521	31
101	3814	24
102	7708	43
1770	1374	5
4972	5704	32
16643	954	16
2013	2600	34
338	369	41
8750	3645	31
3200	1244	5
449	8631	37
7935	4054	12
153	3866	9
2478	4000	11
31303	313	11
104	2227	34
375	381	11
552	979	7
103	7972	10
102	7261	61
34113	2091	6
864	1727	8
321	3173	51
175	7995	0
131	7496	12
316	6168	11
674	3204	12
813	7788	23
104	631	59
210	5532	19
180	8890	25
45103	105	30
162	1500	3
101	7097	35
1578	203	26
1397	2049	14
2901	3378	5
115	6517	36
3540	7474	17
216	4164	18
293	8685	25
9737	4347	32
145	8201	4
13752	2942	4
28661	4588	15
1592	6143	30
19895	9796	24
659	3992	3
103	1440	1
193	626	17
103	6339	14
168	9933	10
172	7336	13
31191	2303	8
14888	5534	38
3599	6310	27
102	7464	28
6913	6075	106
40763	8942	3
44712	141	34
7542	3856	57
417	3783	21
113	3640	8
137	4829	17
3472	2500	2
20619	262	56
237	3718	2
617	3566	16
3441	9564	4
4310	7022	1
692	7024	44
1044	5510	39
28534	4591	29
110	8498	10
256	8492	1
748	205	5
894	7349	10
367	1144	55
35975	1131	25
1507	2209	7
25862	5379	21
36485	6910	72
8	7424	19
879	3871	10
24393	5666	8
313	8570	42
15719	468	21
155	8475	14
5457	2085	19
116	1800	0
721	6498	14
1398	1718	39
40701	9650	26
2830	9217	15
11858	7046	20
35664	7070	43
1058	7174	0
145	7486	53
101	9758	47
1738	2157	11
139	1872	4
307	8436	35
4118	820	6
35433	230	70
1238	9867	1
108	9668	54
109	6889	58
9732	785	34
686	3652	2
15201	5670	9
11269	4016	4
150	4440	0
135	2981	33
275	2843	28
103	2505	16
64	3323	28
3207	3270	19
2324	620	24
641	4352	57
779	3649	23
9	2513	22
812	4167	61
1200	8332	14
69	1314	3
2604	401	9
53555	3176	18
5713	8168	5
6718	8490	11
22958	577	8
52255	8437	12
222	6214	10
140	2516	9
4271	3814	1
349	8781	25
305	104	38
105	3855	13
724	9507	4
8	229	10
101	9475	30
1602	5464	12
105	1483	20
183	2088	7
103	6424	43
39622	2907	78
1128	4964	6
124	2401	71
354	5119	25
1082	8661	14
1169	1717	3
2674	6238	17
370	9798	32
153	3404	32
1872	2598	26
364	5389	25
101	4458	5
39699	8482	40
7926	5917	33
38477	9795	3
250	200	15
4281	7158	3
25416	9137	12
7711	1702	5
114	590	12
825	9456	3
377	4929	25
582	842	49
5985	713	16
802	6120	14
156	7113	53
421	1638	1
23710	6057	31
241	3519	40
291	1665	16
103	7072	101
575	4079	15
30467	2203	9
3453	9926	0
115	7432	19
108	7675	17
102	1055	34
101	8686	20
3445	6634	81
175	624	29
210	7829	4
138	8791	7
42657	8312	11
115	684	28
1693	171	1
134	1204	19
298	8189	3
378	8012	14
436	9670	25
1522	9612	25
936	8149	24
262	3581	14
2836	2089	111
2547	82	29
761	4290	27
1769	7770	0
101	4680	25
148	6074	49
12439	4029	22
140	1113	16
101	1519	15
5743	3440	0
57	8826	23
808	4415	1
324	4271	3
160	1276	14
32660	7249	57
31905	4178	31
3022	5713	20
446	6044	5
140	1184	72
38216	9425	25
3289	7329	10
114	1251	4
4101	9713	45
287	1726	10
933	55	17
3556	9847	26
291	8365	7
136	990	7
1915	4346	20
238	9738	3
1025	1726	23
668	6115	55
6202	7364	3
182	1322	0
101	5484	23
5517	6125	25
126	2831	7
3147	336	7
103	7419	37
2027	4157	1
1093	5246	9
150	1423	41
103	2745	47
232	4346	4
52202	2080	2
14649	5878	60
14683	6391	33
48931	6022	4
844	1104	7
101	3173	16
1396	6021	15
200	4303	24
102	8306	35
188	8802	18
286	4210	10
54618	2336	31
240	7093	93
113	6516	6
5649	121	20
24967	8492	18
153	7131	11
124	2216	34
8062	5747	1
144	841	3
568	3403	49
1614	7404	29
231	577	33
340	1448	8
24839	1366	44
102	2211	18
2093	157	37
816	7053	23
1916	5052	14
48711	3480	3
14288	4701	3
3807	3405	46
116	4391	4
13205	5372	14
109	6394	15
52371	2338	1
167	878	31
271	8770	8
148	6876	48
4975	9215	31
1576	2905	1
58	3499	77
9605	6850	2
2306	8306	28
373	8476	10
3437	6349	24
855	3137	10
107	3563	25
38817	4888	10
1385	1304	61
134	1121	50
10821	3622	9
5775	791	34
102	7328	14
41442	7285	27
1088	8036	2
3592	2472	13
1533	6087	35
356	371	13
118	6002	62
971	2820	41
4134	426	34
2633	7675	14
6580	8398	10
102	1716	56
518	388	17
104	4634	68
107	837	8
133	1454	5
6045	1580	25
48629	6812	7
1112	2479	2
499	6416	1
262	4049	22
410	9987	33
109	5617	0
206	4816	18
11037	1926	28
1086	5130	9
205	7557	30
141	7356	3
4246	4300	51
21138	4779	10
17069	6410	5
101	5056	11
313	2031	6
102	4790	48
749	2806	22
44600	1788	11
172	2247	11
441	9887	21
3269	7001	70
18800	7654	7
50198	31	4
111	8506	22
1831	98	16
108	6182	38
114	8335	17
621	3268	15
129	8720	34
128	1740	4
42345	7591	36
105	9815	58
3310	7805	8
465	3394	7
6156	6508	20
2729	4146	21
676	2277	2
138	3931	1
1332	23	14
20712	4770	41
101	9805	24
3545	1987	15
8260	1574	2
101	8579	26
51315	9527	13
107	4011	27
101	488	9
