10264	178	3	19.69
949	418	3	8.69
6442	120	3	11.16
202	107	111	63.94
130	117	81	12.28
152	755	12	21.21
8896	1463	3	35.16
672	876	4	12.76
57	478	25	15.94
518	180	9	7.19
2991	568	3	15.65
3292	117	4	7.68
621	145	11	10.21
2595	5561	3	33.9
420	173	10	8.95
155	1967	4	7.13
7060	1168	3	28.87
107	7638	3	10.41
3211	1585	3	21.93
104	2761	10	15.87
738	572	4	10.29
5381	3149	4	47.68
531	1197	3	8.05
2063	70	10	24.48
773	1803	6	35.59
299	3675	3	13.69
349	1600	3	7.35
3523	133	3	6.73
218	1746	4	8.47
159	3703	8	44.98
166	6264	3	14.15
6610	110	3	9.26
2929	101	13	9.86
124	850	10	8.58
166	194	20	7.32
211	2331	3	6.91
513	2282	3	12.83
319	1897	3	10.53
234	176	17	7.34
354	1190	3	7.34
232	814	8	16.4
3396	935	5	39.74
140	570	11	7.23
1460	115	8	10.2
241	1482	5	12.48
1463	1421	3	15.22
244	404	18	43.69
332	2905	7	41.45
377	324	8	11.06
130	231	25	9.68
175	2067	5	12.58
531	1249	3	8.35
990	429	4	9.01
288	629	6	11.37
386	3825	3	16.56
3310	376	4	23.82
3126	1660	3	22.62
2773	996	4	26.22
478	1658	4	15.92
160	410	12	11.7
672	1048	7	32.74
132	9747	3	17.08
159	3839	3	8.99
3762	299	3	25.72
189	3207	3	8.85
1834	700	3	12.1
894	634	4	15.34
1076	981	3	10.95
1317	319	5	14.49
208	685	11	23.04
244	463	55	291.29
975	8337	3	34.76
2680	1296	3	20.77
299	5898	3	25.72
140	468	23	46.92
1268	680	3	9.96
336	418	6	13.13
578	1019	3	7.01
135	7452	3	13.91
2006	5062	4	42.51
322	1046	6	17.78
1225	1655	4	24.35
1384	377	4	11.38
115	3969	5	11.44
5985	614	3	22.54
1660	310	3	6.71
2507	1716	5	41.5
101	1632	26	9.93
137	3549	3	6.7
312	1052	4	7.61
702	333	8	19.51
519	1716	5	23.21
113	5683	3	7.27
373	374	8	15.18
295	1378	5	14.55
1456	470	3	9.03
116	229	44	14.11
1044	427	5	14.32
162	616	8	7.14
16	1318	6	31.64
2507	1664	3	23.47
125	1307	15	35.94
122	2953	7	22.12
550	678	4	9.21
2087	427	16	129.29
2081	328	3	11.68
190	659	10	17.15
631	263	13	35.79
9107	192	3	20.74
2166	392	3	11.05
576	335	5	7.16
328	236	13	21.81
292	199	16	13.79
2606	753	4	26.59
1716	180	10	33.2
337	1922	10	53.89
537	1185	3	7.82
116	189	60	29.48
3760	939	3	24.15
887	1585	3	12.36
2117	117	6	6.9
177	3664	3	8.16
209	1142	5	7.67
144	4723	3	9.77
2132	199	4	8.53
890	124	11	11.76
190	830	11	24.99
5839	971	3	25.26
344	2507	4	18.12
3836	180	3	8.93
7984	107	3	10.41
495	816	5	14.29
691	1807	3	12.53
620	1825	3	11.85
1224	70	9	9.48
401	572	6	12.2
318	525	6	10.28
428	6613	4	36.53
1529	160	5	9.08
2117	183	4	8.09
116	70	186	128.66
1615	816	5	27.63
184	101	278	16.87
1792	488	4	15.68
204	2403	3	7.13
174	530	19	45.52
105	3364	7	6.66
256	64	23	10.43
271	1823	11	56.52
